CASEID,sharkbite,hunt_fish,scientists,education,ideology,urbanrural
205409,0,1,100,6,6,suburb
205416,0,0,60,2,7,small town
205430,0,0,90,1,2,small town
205447,0,0,70,3,6,suburb
205454,0,1,40,3,,small town
205461,0,0,85,6,6,suburb
205478,0,0,60,2,6,small town
205485,0,0,85,3,6,rural
205492,0,1,100,7,3,rural
205508,0,0,100,6,2,suburb
205515,0,0,70,1,5,suburb
205522,0,0,50,3,,city
205539,0,0,45,7,4,rural
205546,0,0,100,6,,city
205553,,,,6,7,
205560,0,0,50,3,5,suburb
205577,0,0,50,1,7,city
205607,0,1,100,5,5,suburb
205614,0,1,70,6,6,small town
205621,0,0,85,6,3,small town
205638,0,0,85,7,2,city
205645,0,0,100,7,4,city
205669,0,0,100,3,2,small town
205676,,,,6,2,
205683,0,1,100,6,,suburb
205706,0,0,65,7,,city
205713,,,,2,,
205737,0,1,85,6,4,city
205744,0,0,85,6,,suburb
205751,,,,3,,
205768,,,,6,6,
205775,0,1,,4,6,small town
205782,0,0,100,3,4,city
205799,0,1,100,,3,suburb
205812,0,1,50,2,6,rural
205829,,,,3,,
205836,1,1,50,6,6,small town
205843,0,0,90,3,5,city
205850,,,0,2,7,rural
205867,0,0,90,5,4,small town
205874,0,0,60,2,4,rural
205881,0,1,60,6,7,small town
205898,0,1,100,3,2,rural
205911,0,1,85,2,,small town
205928,0,0,75,6,6,small town
205942,0,0,85,7,5,city
205959,0,0,90,3,5,city
205966,0,0,70,3,,city
205973,0,0,80,5,6,rural
206006,0,0,85,3,1,city
206013,0,0,100,3,,rural
206020,0,0,50,6,4,small town
206037,0,0,85,4,6,city
206044,0,1,68,4,7,small town
206068,0,0,85,6,7,rural
206075,0,1,50,1,4,small town
206082,0,0,50,6,6,small town
206105,0,0,50,5,6,suburb
206129,0,0,100,3,,rural
206136,0,0,100,6,2,city
206143,0,0,0,2,,city
206150,0,1,85,2,,
206167,0,0,0,6,,city
206174,0,1,100,3,4,small town
206181,0,1,65,7,6,suburb
206198,0,0,85,6,4,small town
206204,0,0,100,8,2,rural
206211,0,0,60,7,5,suburb
206228,0,0,100,2,2,suburb
206235,0,0,70,2,,small town
206242,0,1,50,7,5,suburb
206266,0,1,95,7,5,suburb
206273,0,0,70,2,,city
206280,0,0,90,1,4,suburb
206303,0,0,80,2,3,city
206327,0,1,100,5,4,suburb
206334,,,,3,7,
206341,0,0,85,5,4,small town
206358,0,0,50,3,7,city
206365,0,0,90,6,3,small town
206372,0,0,85,7,2,small town
206389,0,0,85,1,6,city
206396,0,0,85,7,3,rural
206402,0,1,100,1,,rural
206419,0,0,85,2,5,small town
206426,0,0,100,7,3,suburb
206433,0,1,70,5,5,city
206440,0,1,50,4,6,rural
206457,0,1,100,2,6,small town
206464,0,0,100,3,4,rural
206471,0,0,90,7,6,suburb
206488,0,0,70,7,5,rural
206495,,,,6,7,
206501,0,0,70,3,,city
206518,0,0,85,3,6,suburb
206525,0,0,100,6,4,small town
206532,,,70,2,3,suburb
206549,0,0,95,3,4,city
206563,,,,2,,
206587,0,0,100,6,1,suburb
206594,0,0,70,7,2,city
206600,0,0,30,4,7,small town
206617,0,1,85,2,4,city
206624,0,0,100,,4,rural
206631,0,0,95,8,3,small town
206648,0,1,100,6,3,small town
206655,0,0,100,2,3,city
206662,0,0,100,3,5,suburb
206679,0,0,95,7,2,suburb
206686,0,0,100,6,6,suburb
206709,0,0,70,1,,city
206716,0,0,70,2,3,city
206723,0,0,60,7,7,suburb
206730,0,1,75,8,4,suburb
206747,0,1,,6,5,small town
206754,0,0,70,8,3,suburb
206778,0,0,85,2,,rural
206792,0,0,100,5,6,small town
206815,0,1,70,3,5,suburb
206822,0,0,50,6,6,city
206839,0,0,50,2,4,small town
206853,0,0,100,2,3,suburb
206860,0,0,100,3,3,rural
206877,0,1,60,3,5,suburb
206884,0,0,85,3,3,small town
206891,0,0,50,7,4,city
206907,0,0,80,3,6,suburb
206914,0,1,15,6,6,small town
206921,0,0,85,6,5,rural
206938,0,0,85,2,6,suburb
206945,0,0,50,4,2,suburb
206983,0,0,,7,2,suburb
206990,0,0,70,6,6,city
207016,0,0,70,1,6,suburb
207023,0,0,85,3,,rural
207030,0,1,50,6,6,rural
207047,0,1,90,6,5,rural
207054,0,0,85,7,5,suburb
207061,0,0,85,3,5,rural
207078,0,1,90,2,4,small town
207092,0,1,50,2,7,small town
207108,0,0,100,6,4,small town
207115,0,0,100,5,,city
207122,0,1,100,6,1,city
207139,0,0,85,7,2,suburb
207153,0,1,85,7,6,rural
207160,0,0,60,3,7,small town
